Designator,Mid X,Mid Y,Rotation,Layer
BZ1,102.6922,-103.5812,-90.0,bottom
C1,223.4946,-110.4374,-90.0,top
C10,165.7096,-135.6106,0.0,bottom
C11,181.9928,-135.2929,180.0,bottom
C12,203.581,-140.5382,0.0,bottom
C13,154.7876,-118.872,90.0,bottom
C14,106.553,-140.081,180.0,bottom
C15,163.1696,-139.2428,180.0,bottom
C16,198.2724,-140.589,180.0,bottom
C2,154.7894,-107.2896,180.0,bottom
C3,148.6408,-107.2642,90.0,top
C4,153.7208,-107.266,90.0,top
C5,156.3116,-107.2878,90.0,top
C6,124.4346,-99.4664,90.0,top
C7,133.5024,-99.5408,90.0,top
C8,112.6998,-140.081,0.0,bottom
C9,141.0462,-143.1036,0.0,bottom
Encoder-Switch1,132.5118,-94.742,-90.0,bottom
IIC1,115.6462,-111.1758,0.0,bottom
J1,115.6462,-94.742,-90.0,bottom
J4,180.6194,-95.0214,-90.0,bottom
L1,222.2756,-105.8164,180.0,top
L2,148.3612,-107.315,180.0,bottom
L3,144.9324,-107.264,-90.0,top
L4,148.8186,-118.7958,-90.0,bottom
L5,106.6038,-118.7704,90.0,bottom
Q1,218.7194,-99.8728,90.0,top
QRcode,199.644,-109.3978,180.0,bottom
R1,212.09,-110.3269,90.0,top
R10,145.542,-146.8882,0.0,bottom
R11,159.9184,-135.6106,180.0,bottom
R12,175.1985,-145.8468,0.0,bottom
R13,187.3522,-135.3691,0.0,bottom
R14,182.0182,-138.2647,0.0,bottom
R15,198.12,-135.7376,90.0,bottom
R16,209.3976,-145.0086,0.0,bottom
R18,140.208,-127.3048,-90.0,bottom
R2,215.8492,-110.3884,90.0,top
R20,192.1256,-127.762,90.0,bottom
R3,219.6592,-110.4392,90.0,top
R4,216.1794,-99.8982,-90.0,bottom
R5,155.0309,-99.5662,180.0,top
R6,137.6573,-107.2896,180.0,bottom
R7,106.48935,-135.1788,180.0,bottom
R8,117.0178,-145.2372,0.0,bottom
R9,133.8834,-136.8298,180.0,bottom
RV1,174.6904,-102.0864,-90.0,top
RV2,172.2412,-99.688,-90.0,top
Reset1,121.8704,-109.5904,0.0,bottom
U2,198.9074,-108.2802,0.0,top
U3,133.4262,-103.5812,-90.0,bottom
U4,109.9058,-146.05,90.0,bottom
U6-0x41,168.0464,-145.9992,90.0,bottom
U8-0x40,201.295,-146.0388,90.0,bottom
Y1,152.781,-94.6658,0.0,bottom
